"","country","region","category","sex","year","homicide_rate"
"1","Albania","Europe","Intimate partner or family member","Male",2015,0.138333441694529
"2","Andorra","Europe","Intimate partner or family member","Male",2015,0
"3","Argentina","Americas","Intimate partner or family member","Male",2015,0.233619521920076
"4","Armenia","Asia","Intimate partner or family member","Male",2015,0
"5","Bahamas","Americas","Intimate partner or family member","Male",2015,1.58852870471369
"6","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2015,0.173921311042032
"7","Belarus","Europe","Intimate partner or family member","Male",2015,0.289870648567738
"8","Belize","Americas","Intimate partner or family member","Male",2015,0.552591516062454
"9","Bermuda","Americas","Intimate partner or family member","Male",2015,3.25685160155677
"10","Canada","Americas","Intimate partner or family member","Male",2015,0.0733266354152307
"11","Switzerland","Europe","Intimate partner or family member","Male",2015,0.0976208814970357
"12","Chile","Americas","Intimate partner or family member","Male",2015,0.0451164387609763
"13","Colombia","Americas","Intimate partner or family member","Male",2015,0.107423505655246
"14","Costa Rica","Americas","Intimate partner or family member","Male",2015,0.448052397691308
"15","Czechia","Europe","Intimate partner or family member","Male",2015,0.154679818576041
"16","Germany","Europe","Intimate partner or family member","Male",2015,0.0593539676742464
"17","Dominica","Americas","Intimate partner or family member","Male",2015,0
"18","Algeria","Africa","Intimate partner or family member","Male",2015,0.0396978359518688
"19","Ecuador","Americas","Intimate partner or family member","Male",2015,0.259251961796631
"20","Spain","Europe","Intimate partner or family member","Male",2015,0.0394540367923798
"21","Finland","Europe","Intimate partner or family member","Male",2015,0.185413931038626
"22","France","Europe","Intimate partner or family member","Male",2015,0.0647990731399774
"23","United Kingdom (England and Wales)","Europe","Intimate partner or family member","Male",2015,0.0595345511744468
"24","United Kingdom (Northern Ireland)","Europe","Intimate partner or family member","Male",2015,0
"25","United Kingdom (Scotland)","Europe","Intimate partner or family member","Male",2015,0.114921878022685
"26","Grenada","Americas","Intimate partner or family member","Male",2015,0
"27","Guyana","Americas","Intimate partner or family member","Male",2015,0
"28","China, Hong Kong Special Administrative Region","Asia","Intimate partner or family member","Male",2015,0.0291892311585702
"29","Honduras","Americas","Intimate partner or family member","Male",2015,0
"30","Croatia","Europe","Intimate partner or family member","Male",2015,0.0971549626512035
"31","Iceland","Europe","Intimate partner or family member","Male",2015,0.601180116568825
"32","Italy","Europe","Intimate partner or family member","Male",2015,0.0342338947326908
"33","Jamaica","Americas","Intimate partner or family member","Male",2015,0.288261695497641
"34","Liechtenstein","Europe","Intimate partner or family member","Male",2015,0
"35","Lithuania","Europe","Intimate partner or family member","Male",2015,0.437272527187419
"36","Latvia","Europe","Intimate partner or family member","Male",2015,0.438298284993598
"37","China, Macao Special Administrative Region","Asia","Intimate partner or family member","Male",2015,0
"38","Morocco","Africa","Intimate partner or family member","Male",2015,0.246494588985177
"39","Monaco","Europe","Intimate partner or family member","Male",2015,0
"40","Mexico","Americas","Intimate partner or family member","Male",2015,0.0084998197273234
"41","North Macedonia","Europe","Intimate partner or family member","Male",2015,0
"42","Malta","Europe","Intimate partner or family member","Male",2015,0
"43","Montenegro","Europe","Intimate partner or family member","Male",2015,0
"44","Mongolia","Asia","Intimate partner or family member","Male",2015,1.01788629802896
"45","Netherlands (Kingdom of the)","Europe","Intimate partner or family member","Male",2015,0.0355045888497602
"46","New Zealand","Oceania","Intimate partner or family member","Male",2015,0.0444144005699256
"47","Oman","Asia","Intimate partner or family member","Male",2015,0
"48","Peru","Americas","Intimate partner or family member","Male",2015,0.105154786202246
"49","Paraguay","Americas","Intimate partner or family member","Male",2015,0.0965655185777573
"50","Russian Federation","Europe","Intimate partner or family member","Male",2015,1.06128498985437
"51","Rwanda","Africa","Intimate partner or family member","Male",2015,1.18295617924223
"52","El Salvador","Americas","Intimate partner or family member","Male",2015,0
"53","Slovakia","Europe","Intimate partner or family member","Male",2015,0.0756351270707952
"54","Slovenia","Europe","Intimate partner or family member","Male",2015,0.19375395379162
"55","Trinidad and Tobago","Americas","Intimate partner or family member","Male",2015,0
"56","United Republic of Tanzania","Africa","Intimate partner or family member","Male",2015,0.433092237587286
"57","Uruguay","Americas","Intimate partner or family member","Male",2015,0.304204532525853
"58","Albania","Europe","Intimate partner or family member","Male",2016,0.138440495506222
"59","Bahamas","Americas","Intimate partner or family member","Male",2016,1.05130085339347
"60","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2016,0.293071382224283
"61","Belarus","Europe","Intimate partner or family member","Male",2016,0.155966857488403
"62","Belize","Americas","Intimate partner or family member","Male",2016,1.08226279505189
"63","Barbados","Americas","Intimate partner or family member","Male",2016,0
"64","Canada","Americas","Intimate partner or family member","Male",2016,0.083708753139706
"65","Switzerland","Europe","Intimate partner or family member","Male",2016,0
"66","Chile","Americas","Intimate partner or family member","Male",2016,0.111458676417072
"67","Colombia","Americas","Intimate partner or family member","Male",2016,0.110553773631879
"68","Czechia","Europe","Intimate partner or family member","Male",2016,0.0579522681938248
"69","Germany","Europe","Intimate partner or family member","Male",2016,0.0418825021878064
"70","Dominica","Americas","Intimate partner or family member","Male",2016,0
"71","Dominican Republic","Americas","Intimate partner or family member","Male",2016,1.11254820492233
"72","Algeria","Africa","Intimate partner or family member","Male",2016,0.0389174829689798
"73","Ecuador","Americas","Intimate partner or family member","Male",2016,0.267570698867908
"74","Spain","Europe","Intimate partner or family member","Male",2016,0.0262968695680529
"75","Finland","Europe","Intimate partner or family member","Male",2016,0.18471361815927
"76","France","Europe","Intimate partner or family member","Male",2016,0.0710852022063813
"77","United Kingdom (England and Wales)","Europe","Intimate partner or family member","Male",2016,0.0450841648529538
"78","United Kingdom (Northern Ireland)","Europe","Intimate partner or family member","Male",2016,0
"79","United Kingdom (Scotland)","Europe","Intimate partner or family member","Male",2016,0.0761178959643433
"80","Grenada","Americas","Intimate partner or family member","Male",2016,0
"81","Guyana","Americas","Intimate partner or family member","Male",2016,1.07408789798313
"82","China, Hong Kong Special Administrative Region","Asia","Intimate partner or family member","Male",2016,0
"83","Honduras","Americas","Intimate partner or family member","Male",2016,0.104544879548617
"84","Croatia","Europe","Intimate partner or family member","Male",2016,0.0488785787673409
"85","Hungary","Europe","Intimate partner or family member","Male",2016,0.0427144248107591
"86","Iceland","Europe","Intimate partner or family member","Male",2016,0
"87","Italy","Europe","Intimate partner or family member","Male",2016,0.0239837083465943
"88","Jamaica","Americas","Intimate partner or family member","Male",2016,0.0718479066034692
"89","Saint Kitts and Nevis","Americas","Intimate partner or family member","Male",2016,0
"90","Liechtenstein","Europe","Intimate partner or family member","Male",2016,0
"91","Lithuania","Europe","Intimate partner or family member","Male",2016,0.514239663599105
"92","Latvia","Europe","Intimate partner or family member","Male",2016,0.220799293442261
"93","Morocco","Africa","Intimate partner or family member","Male",2016,0.13586158919452
"94","Mexico","Americas","Intimate partner or family member","Male",2016,0.0184906179193015
"95","North Macedonia","Europe","Intimate partner or family member","Male",2016,0
"96","Malta","Europe","Intimate partner or family member","Male",2016,0
"97","Montenegro","Europe","Intimate partner or family member","Male",2016,0
"98","Mongolia","Asia","Intimate partner or family member","Male",2016,0.929841468671316
"99","Netherlands (Kingdom of the)","Europe","Intimate partner or family member","Male",2016,0.0235440284515457
"100","New Zealand","Oceania","Intimate partner or family member","Male",2016,0.130865272457135
"101","Oman","Asia","Intimate partner or family member","Male",2016,0.0348877451910732
"102","Peru","Americas","Intimate partner or family member","Male",2016,0.200932182730838
"103","Philippines","Asia","Intimate partner or family member","Male",2016,0.0169326325430974
"104","Paraguay","Americas","Intimate partner or family member","Male",2016,0.126963973972385
"105","Russian Federation","Europe","Intimate partner or family member","Male",2016,1.06357659835584
"106","El Salvador","Americas","Intimate partner or family member","Male",2016,0.0335132323646669
"107","Suriname","Americas","Intimate partner or family member","Male",2016,3.7832214130332
"108","Slovakia","Europe","Intimate partner or family member","Male",2016,0.226509459035009
"109","Slovenia","Europe","Intimate partner or family member","Male",2016,0
"110","Uruguay","Americas","Intimate partner or family member","Male",2016,0.121232841006766
"111","Albania","Europe","Intimate partner or family member","Male",2017,0.138583331889757
"112","Argentina","Americas","Intimate partner or family member","Male",2017,0.206369488793885
"113","Antigua and Barbuda","Americas","Intimate partner or family member","Male",2017,2.30093993396302
"114","Bahamas","Americas","Intimate partner or family member","Male",2017,2.08887101743685
"115","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2017,0.118481797937587
"116","Belarus","Europe","Intimate partner or family member","Male",2017,0.178279495896897
"117","Belize","Americas","Intimate partner or family member","Male",2017,0
"118","Barbados","Americas","Intimate partner or family member","Male",2017,0
"119","Bhutan","Asia","Intimate partner or family member","Male",2017,0
"120","Canada","Americas","Intimate partner or family member","Male",2017,0.0771654144832759
"121","Switzerland","Europe","Intimate partner or family member","Male",2017,0
"122","Chile","Americas","Intimate partner or family member","Male",2017,0.087773396300505
"123","Colombia","Americas","Intimate partner or family member","Male",2017,0.100525366508156
"124","Czechia","Europe","Intimate partner or family member","Male",2017,0.0965022191650319
"125","Germany","Europe","Intimate partner or family member","Male",2017,0.0883417871106731
"126","Dominica","Americas","Intimate partner or family member","Male",2017,0
"127","Dominican Republic","Americas","Intimate partner or family member","Male",2017,1.11931381585833
"128","Algeria","Africa","Intimate partner or family member","Male",2017,0.0524776286676316
"129","Ecuador","Americas","Intimate partner or family member","Male",2017,0.0479001760331469
"130","Spain","Europe","Intimate partner or family member","Male",2017,0.0306286097730906
"131","Finland","Europe","Intimate partner or family member","Male",2017,0.11046806423497
"132","France","Europe","Intimate partner or family member","Male",2017,0.0515768244052507
"133","United Kingdom (England and Wales)","Europe","Intimate partner or family member","Male",2017,0.0310117554193818
"134","United Kingdom (Northern Ireland)","Europe","Intimate partner or family member","Male",2017,0.10866635950309
