"","country","region","indicator","category","sex","year","violence_rate"
"1","Albania","Europe","Violent offences","Serious assault","Total",2015,5.86300482119396
"2","Andorra","Europe","Violent offences","Serious assault","Total",2015,185.377480120704
"3","United Arab Emirates","Asia","Violent offences","Serious assault","Total",2015,3.5886915395139
"4","Argentina","Americas","Violent offences","Serious assault","Total",2015,419.170824022138
"5","Armenia","Asia","Violent offences","Serious assault","Total",2015,5.66248464962942
"6","Antigua and Barbuda","Americas","Violent offences","Serious assault","Total",2015,7.78292315475231
"7","Australia","Oceania","Violent offences","Serious assault","Total",2015,285.479947155857
"8","Austria","Europe","Violent offences","Serious assault","Total",2015,40.0466489656081
"9","Belgium","Europe","Violent offences","Serious assault","Total",2015,554.581384002424
"10","Bulgaria","Europe","Violent offences","Serious assault","Total",2015,34.4768426435858
"11","Bahamas","Americas","Violent offences","Serious assault","Total",2015,1161.70843970232
"12","Bosnia and Herzegovina","Europe","Violent offences","Serious assault","Total",2015,28.1472418540407
"13","Belarus","Europe","Violent offences","Serious assault","Total",2015,8.6798674186332
"14","Bermuda","Americas","Violent offences","Serious assault","Total",2015,91.8535411123781
"15","Bolivia (Plurinational State of)","Americas","Violent offences","Serious assault","Total",2015,77.9705405350328
"16","Brazil","Americas","Violent offences","Serious assault","Total",2015,302.653361580896
"17","Barbados","Americas","Violent offences","Serious assault","Total",2015,530.057572739074
"18","Bhutan","Asia","Violent offences","Serious assault","Total",2015,59.0630104106965
"19","Canada","Americas","Violent offences","Serious assault","Total",2015,141.91151122662
"20","Switzerland","Europe","Violent offences","Serious assault","Total",2015,7.43805764301477
"21","Chile","Americas","Violent offences","Serious assault","Total",2015,68.8523481985911
"22","Cameroon","Africa","Violent offences","Serious assault","Total",2015,20.8798231685386
"23","Colombia","Americas","Violent offences","Serious assault","Total",2015,371.61929287877
"24","Cabo Verde","Africa","Violent offences","Serious assault","Total",2015,761.546346569691
"25","Costa Rica","Americas","Violent offences","Serious assault","Total",2015,173.985269778287
"26","Cyprus","Asia","Violent offences","Serious assault","Total",2015,12.0443366349976
"27","Czechia","Europe","Violent offences","Serious assault","Total",2015,49.6873847255525
"28","Germany","Europe","Violent offences","Serious assault","Total",2015,155.221143616312
"29","Dominica","Americas","Violent offences","Serious assault","Total",2015,125.702613328762
"30","Denmark","Europe","Violent offences","Serious assault","Total",2015,25.7142031872931
"31","Dominican Republic","Americas","Violent offences","Serious assault","Total",2015,37.3732729876861
"32","Algeria","Africa","Violent offences","Serious assault","Total",2015,124.145379902034
"33","Ecuador","Americas","Violent offences","Serious assault","Total",2015,49.4940016307829
"34","Spain","Europe","Violent offences","Serious assault","Total",2015,62.578419551173
"35","Estonia","Europe","Violent offences","Serious assault","Total",2015,7.45441586664811
"36","Finland","Europe","Violent offences","Serious assault","Total",2015,28.5247034334216
"37","France","Europe","Violent offences","Serious assault","Total",2015,379.542198311359
"38","United Kingdom (England and Wales)","Europe","Violent offences","Serious assault","Total",2015,743.854069072635
"39","United Kingdom (Northern Ireland)","Europe","Violent offences","Serious assault","Total",2015,65.1321193700007
"40","United Kingdom (Scotland)","Europe","Violent offences","Serious assault","Total",2015,69.1233947515355
"41","Guinea-Bissau","Africa","Violent offences","Serious assault","Total",2015,74.4024743434443
"42","Greece","Europe","Violent offences","Serious assault","Total",2015,15.0277963337544
"43","Grenada","Americas","Violent offences","Serious assault","Total",2015,415.197576053018
"44","Guatemala","Americas","Violent offences","Serious assault","Total",2015,14.7739778254092
"45","Guyana","Americas","Violent offences","Serious assault","Total",2015,1227.63171313496
"46","Honduras","Americas","Violent offences","Serious assault","Total",2015,14.2880105731278
"47","Croatia","Europe","Violent offences","Serious assault","Total",2015,18.8962387318838
"48","Indonesia","Asia","Violent offences","Serious assault","Total",2015,5.61924014858508
"49","Ireland","Europe","Violent offences","Serious assault","Total",2015,75.3574980281883
"50","Iceland","Europe","Violent offences","Serious assault","Total",2015,25.6751429878919
"51","Italy","Europe","Violent offences","Serious assault","Total",2015,108.03397066713
"52","Jamaica","Americas","Violent offences","Serious assault","Total",2015,104.958229630571
"53","Japan","Asia","Violent offences","Serious assault","Total",2015,19.7900317163097
"54","Kazakhstan","Asia","Violent offences","Serious assault","Total",2015,5.04600017862841
"55","Kenya","Africa","Violent offences","Serious assault","Total",2015,31.8474403236149
"56","Kyrgyzstan","Asia","Violent offences","Serious assault","Total",2015,6.06933479583451
"57","Republic of Korea","Asia","Violent offences","Serious assault","Total",2015,94.1377858326054
"58","Lebanon","Asia","Violent offences","Serious assault","Total",2015,121.410733652761
"59","Liechtenstein","Europe","Violent offences","Serious assault","Total",2015,216.838441975639
"60","Sri Lanka","Asia","Violent offences","Serious assault","Total",2015,17.7721969913058
"61","Lithuania","Europe","Violent offences","Serious assault","Total",2015,7.22054548859306
"62","Luxembourg","Europe","Violent offences","Serious assault","Total",2015,106.777659233501
"63","Latvia","Europe","Violent offences","Serious assault","Total",2015,26.8078345143339
"64","China, Macao Special Administrative Region","Asia","Violent offences","Serious assault","Total",2015,1.7879230672958
"65","Morocco","Africa","Violent offences","Serious assault","Total",2015,162.26717651768
"66","Monaco","Europe","Violent offences","Serious assault","Total",2015,535.908596300326
"67","Republic of Moldova","Europe","Violent offences","Serious assault","Total",2015,7.68904993854862
"68","Madagascar","Africa","Violent offences","Serious assault","Total",2015,8.80852948943968
"69","Maldives","Asia","Violent offences","Serious assault","Total",2015,85.4029780844939
"70","Mexico","Americas","Violent offences","Serious assault","Total",2015,38.461123275037
"71","North Macedonia","Europe","Violent offences","Serious assault","Total",2015,7.30563454179914
"72","Malta","Europe","Violent offences","Serious assault","Total",2015,40.0807309148372
"73","Myanmar","Asia","Violent offences","Serious assault","Total",2015,9.48839414008432
"74","Montenegro","Europe","Violent offences","Serious assault","Total",2015,22.0831857834759
"75","Mongolia","Asia","Violent offences","Serious assault","Total",2015,15.0097023390513
"76","Netherlands (Kingdom of the)","Europe","Violent offences","Serious assault","Total",2015,29.9276314662169
"77","Norway","Europe","Violent offences","Serious assault","Total",2015,43.1376878314921
"78","New Zealand","Oceania","Violent offences","Serious assault","Total",2015,461.531088596455
"79","Oman","Asia","Violent offences","Serious assault","Total",2015,1.04967415967023
"80","Pakistan","Asia","Violent offences","Serious assault","Total",2015,13.7361219261392
"81","Panama","Americas","Violent offences","Serious assault","Total",2015,71.8455616096539
"82","Peru","Americas","Violent offences","Serious assault","Total",2015,80.6789220178535
"83","Poland","Europe","Violent offences","Serious assault","Total",2015,18.0452199672629
"84","Puerto Rico","Americas","Violent offences","Serious assault","Total",2015,84.635872743103
"85","Portugal","Europe","Violent offences","Serious assault","Total",2015,4.52465289448509
"86","Paraguay","Americas","Violent offences","Serious assault","Total",2015,11.0878203934962
"87","Romania","Europe","Violent offences","Serious assault","Total",2015,1.50205371936884
"88","Russian Federation","Europe","Violent offences","Serious assault","Total",2015,18.8417110330736
"89","Saudi Arabia","Asia","Violent offences","Serious assault","Total",2015,1.33435733808597
"90","Singapore","Asia","Violent offences","Serious assault","Total",2015,8.37165474517072
"91","El Salvador","Americas","Violent offences","Serious assault","Total",2015,94.4782160869424
"92","Serbia","Europe","Violent offences","Serious assault","Total",2015,18.9108418968505
"93","Suriname","Americas","Violent offences","Serious assault","Total",2015,53.8685433772101
"94","Slovakia","Europe","Violent offences","Serious assault","Total",2015,34.3260923467746
"95","Slovenia","Europe","Violent offences","Serious assault","Total",2015,74.0077910019982
"96","Sweden","Europe","Violent offences","Serious assault","Total",2015,47.1706302619594
"97","Thailand","Asia","Violent offences","Serious assault","Total",2015,19.4567427614465
"98","Trinidad and Tobago","Americas","Violent offences","Serious assault","Total",2015,41.0909088418733
"99","United Republic of Tanzania","Africa","Violent offences","Serious assault","Total",2015,4.49347754890373
"100","Uganda","Africa","Violent offences","Serious assault","Total",2015,26.8562168579875
"101","Uruguay","Americas","Violent offences","Serious assault","Total",2015,13.7826942257858
"102","United States of America","Americas","Violent offences","Serious assault","Total",2015,235.391772514434
"103","Uzbekistan","Asia","Violent offences","Serious assault","Total",2015,4.77553406658568
"104","Holy See","Europe","Violent offences","Serious assault","Total",2015,0
"105","Venezuela (Bolivarian Republic of)","Americas","Violent offences","Serious assault","Total",2015,13.4491916007342
"106","Kosovo under UNSCR 1244","Europe","Violent offences","Serious assault","Total",2015,22.3406904126036
"107","South Africa","Africa","Violent offences","Serious assault","Total",2015,327.388055630682
"108","Albania","Europe","Violent offences","Serious assault","Total",2016,4.09571050685112
"109","Andorra","Europe","Violent offences","Serious assault","Total",2016,267.436811160662
"110","United Arab Emirates","Asia","Violent offences","Serious assault","Total",2016,3.86913302401764
"111","Argentina","Americas","Violent offences","Serious assault","Total",2016,327.437042233118
"112","Armenia","Asia","Violent offences","Serious assault","Total",2016,6.49025502166035
"113","Antigua and Barbuda","Americas","Violent offences","Serious assault","Total",2016,5.52092707407428
"114","Australia","Oceania","Violent offences","Serious assault","Total",2016,293.382684246979
"115","Austria","Europe","Violent offences","Serious assault","Total",2016,43.4156200312551
"116","Azerbaijan","Asia","Violent offences","Serious assault","Total",2016,3.33792824717268
"117","Belgium","Europe","Violent offences","Serious assault","Total",2016,556.197863077631
"118","Bulgaria","Europe","Violent offences","Serious assault","Total",2016,34.0878901735101
"119","Bahamas","Americas","Violent offences","Serious assault","Total",2016,1079.86206252139
"120","Bosnia and Herzegovina","Europe","Violent offences","Serious assault","Total",2016,28.9860401621839
"121","Belarus","Europe","Violent offences","Serious assault","Total",2016,7.59159094818662
"122","Bermuda","Americas","Violent offences","Serious assault","Total",2016,72.9371472061901
"123","Bolivia (Plurinational State of)","Americas","Violent offences","Serious assault","Total",2016,71.9878227998611
"124","Brazil","Americas","Violent offences","Serious assault","Total",2016,290.496580245368
"125","Barbados","Americas","Violent offences","Serious assault","Total",2016,469.048875108111
"126","Bhutan","Asia","Violent offences","Serious assault","Total",2016,53.3502987283289
"127","Canada","Americas","Violent offences","Serious assault","Total",2016,147.897469569025
"128","Switzerland","Europe","Violent offences","Serious assault","Total",2016,6.84350866330869
"129","Chile","Americas","Violent offences","Serious assault","Total",2016,66.3961494988907
"130","Cameroon","Africa","Violent offences","Serious assault","Total",2016,7.80207855807467
"131","Colombia","Americas","Violent offences","Serious assault","Total",2016,377.119988940484
"132","Cabo Verde","Africa","Violent offences","Serious assault","Total",2016,681.238801599944
"133","Costa Rica","Americas","Violent offences","Serious assault","Total",2016,152.248491215228
"134","Cyprus","Asia","Violent offences","Serious assault","Total",2016,12.1046981255249
"135","Czechia","Europe","Violent offences","Serious assault","Total",2016,47.9691887726261
"136","Germany","Europe","Violent offences","Serious assault","Total",2016,170.084513175486
"137","Dominica","Americas","Violent offences","Serious assault","Total",2016,158.401712450945
"138","Denmark","Europe","Violent offences","Serious assault","Total",2016,30.3669778303539
"139","Dominican Republic","Americas","Violent offences","Serious assault","Total",2016,34.9082677216214
"140","Ecuador","Americas","Violent offences","Serious assault","Total",2016,44.4780084168791
"141","Spain","Europe","Violent offences","Serious assault","Total",2016,37.2923687496792
"142","Finland","Europe","Violent offences","Serious assault","Total",2016,28.9706379308996
"143","France","Europe","Violent offences","Serious assault","Total",2016,386.798928114862
"144","United Kingdom (England and Wales)","Europe","Violent offences","Serious assault","Total",2016,799.43862766684
"145","United Kingdom (Northern Ireland)","Europe","Violent offences","Serious assault","Total",2016,59.6626349189131
"146","United Kingdom (Scotland)","Europe","Violent offences","Serious assault","Total",2016,73.0845375321479
"147","Guinea-Bissau","Africa","Violent offences","Serious assault","Total",2016,109.018441559574
"148","Greece","Europe","Violent offences","Serious assault","Total",2016,14.0933614964899
"149","Grenada","Americas","Violent offences","Serious assault","Total",2016,364.269876464998
"150","Guatemala","Americas","Violent offences","Serious assault","Total",2016,11.3498222700086
"151","Guyana","Americas","Violent offences","Serious assault","Total",2016,152.024734977677
"152","Honduras","Americas","Violent offences","Serious assault","Total",2016,14.2376996105403
"153","Croatia","Europe","Violent offences","Serious assault","Total",2016,18.7037540802003
"154","Indonesia","Asia","Violent offences","Serious assault","Total",2016,5.52529690431913
"155","Ireland","Europe","Violent offences","Serious assault","Total",2016,77.1451133935622
"156","Iceland","Europe","Violent offences","Serious assault","Total",2016,22.0451657781571
"157","Italy","Europe","Violent offences","Serious assault","Total",2016,106.677419629028
"158","Jamaica","Americas","Violent offences","Serious assault","Total",2016,80.7080040075699
"159","Japan","Asia","Violent offences","Serious assault","Total",2016,19.1859672457545
"160","Kenya","Africa","Violent offences","Serious assault","Total",2016,32.7907051035115
"161","Kyrgyzstan","Asia","Violent offences","Serious assault","Total",2016,4.70232535804552
"162","Saint Kitts and Nevis","Americas","Violent offences","Serious assault","Total",2016,267.852471880722
"163","Republic of Korea","Asia","Violent offences","Serious assault","Total",2016,97.5014921072671
"164","Lebanon","Asia","Violent offences","Serious assault","Total",2016,119.690922279991
"165","Liechtenstein","Europe","Violent offences","Serious assault","Total",2016,188.782089631609
"166","Sri Lanka","Asia","Violent offences","Serious assault","Total",2016,16.6297215830823
"167","Lithuania","Europe","Violent offences","Serious assault","Total",2016,7.3627812769926
"168","Luxembourg","Europe","Violent offences","Serious assault","Total",2016,97.5399030772211
"169","Latvia","Europe","Violent offences","Serious assault","Total",2016,33.291512032576
"170","China, Macao Special Administrative Region","Asia","Violent offences","Serious assault","Total",2016,1.59568908636428
"171","Morocco","Africa","Violent offences","Serious assault","Total",2016,184.169862966251
"172","Republic of Moldova","Europe","Violent offences","Serious assault","Total",2016,7.75164234046267
"173","Maldives","Asia","Violent offences","Serious assault","Total",2016,82.9934893038563
"174","Mexico","Americas","Violent offences","Serious assault","Total",2016,52.3818363484914
"175","North Macedonia","Europe","Violent offences","Serious assault","Total",2016,8.19829058532951
"176","Malta","Europe","Violent offences","Serious assault","Total",2016,42.7619974128992
"177","Myanmar","Asia","Violent offences","Serious assault","Total",2016,8.901119508003
"178","Montenegro","Europe","Violent offences","Serious assault","Total",2016,20.2127550379897
"179","Mongolia","Asia","Violent offences","Serious assault","Total",2016,14.6226095911776
"180","Nicaragua","Americas","Violent offences","Serious assault","Total",2016,21.5518759288084
"181","Netherlands (Kingdom of the)","Europe","Violent offences","Serious assault","Total",2016,29.3147159582131
"182","Norway","Europe","Violent offences","Serious assault","Total",2016,41.9929763452934
"183","Nepal","Asia","Violent offences","Serious assault","Total",2016,0.236888695262291
"184","New Zealand","Oceania","Violent offences","Serious assault","Total",2016,508.752954372471
"185","Oman","Asia","Violent offences","Serious assault","Total",2016,0.93222709051925
"186","Pakistan","Asia","Violent offences","Serious assault","Total",2016,13.906578738099
"187","Panama","Americas","Violent offences","Serious assault","Total",2016,62.3643773484435
"188","Peru","Americas","Violent offences","Serious assault","Total",2016,14.7593634349185
"189","Philippines","Asia","Violent offences","Serious assault","Total",2016,1.30440669104566
"190","Poland","Europe","Violent offences","Serious assault","Total",2016,19.7783080310182
"191","Puerto Rico","Americas","Violent offences","Serious assault","Total",2016,104.464624625045
